,battery_power,power_grid,SOC
0,35.06015774460084,481.39285014262924,208.24972725618716
1,6.540752726571642,322.23628490975693,173.1895695115863
2,5.118615613269091,413.3873151673944,166.64881678501467
3,5.9896516333888705,376.35983094828055,161.53020117174557
4,43.82166873537187,90.66941470139668,155.54054953835671
5,49.942321870892,95.90479422265263,111.71888080298484
6,0.0,495.5,61.77655893209284
7,1.2821337954081813,837.1319728943622,61.77655893209284
8,22.0523009244412,320.0003141217809,60.49442513668466
9,-82.01990625206952,0.0,38.442124212243456
10,-46.33581796572214,0.0,120.46203046431297
11,-87.19980993190546,0.0,166.79784843003512
12,-87.57252674374277,0.0,253.99765836194058
13,-1.8210159687924639,0.0,341.5701851056833
14,1.4147984751200047,191.86094144863603,343.39120107447576
15,32.55515985011255,422.1725981423931,341.97640259935577
16,12.183067084913972,381.89108626933177,309.4212427492432
17,15.747014058805437,387.5403366441348,297.2381756643292
18,11.837397399586575,412.8044724703927,281.49116160552376
19,2.7826674510124363,181.80646592153823,269.6537642059372
20,34.112236214505245,506.74337559622,266.87109675492474
21,13.01470871551076,680.5860267202648,232.7588605404195
22,6.845965603741829,609.1463326764452,219.74415182490876
23,6.711717267375598,767.4738685959932,212.89818622116692
24,Power,Capacity,init_SOC
25,91.07854394749704,381.7565545113391,0.5455039993295037
26,result,,
27,15634.351208519194,,
