,battery_power,power_grid,SOC
0,-91.13792206736974,0.0,143.11543379632792
1,-2.649217872597599,0.0,234.25335586369766
2,-49.35947442517246,0.0,236.90257373629527
3,-53.9856507932037,0.0,286.2620481614677
4,-1.1197601434156363,0.0,340.2476989546714
5,-15.315559628407698,0.0,341.36745909808707
6,-0.4941105820909474,0.0,356.68301872649477
7,42.98556566876189,394.41816269895116,357.17712930858573
8,53.39717570936443,33.94782943892611,314.1915636398238
9,87.13247288043848,173.53758139784497,260.7943879304594
10,61.36182911708575,306.35172775875685,173.6619150500209
11,-0.0008730156460205693,0.0,112.30008593293515
12,-101.15512034035903,0.0,112.30095894858117
13,6.273325803332546,103.42673263249864,213.4560792889402
14,75.43267123029267,287.15067394548254,207.18275348560766
15,88.26303782782209,102.15588126066237,131.750082255315
16,-47.515721206975336,0.0,43.487044427492904
17,-131.78017076367115,0.0,91.00276563446823
18,-120.75899621948308,0.0,222.78293639813938
19,-7.600682107931956,0.0,343.5419326176225
20,2.7803448718029418,49.13779887316596,351.14261472555444
21,99.99510611578951,3.0864346028167375,348.3622698537515
22,80.85129732482206,39.973679548527116,248.36716373796202
23,24.259770694204818,462.95321784050543,167.51586641313997
24,Power,Capacity,init_SOC
25,136.0578832765222,404.1250618109835,0.3541364971402481
26,result,wind,solar
27,5513.484110457548,2024.2188142859409,0.5445443160421886
